name_muni,geo_code,pop,area,mean.bra_viirs_100m_2016,mean.bra_srtm_slope_100m,mean.bra_osm_dst_road_100m_2016,mean.bra_esaccilc_dst200_100m_2015,mean.bra_esaccilc_dst190_100m_2015,mean.bra_esaccilc_dst150_100m_2015,mean.bra_esaccilc_dst140_100m_2015,mean.bra_esaccilc_dst130_100m_2015,mean.bra_esaccilc_dst040_100m_2015,mean.bra_esaccilc_dst011_100m_2015,code_state,code_muni,abbrev_state
Jijoca de Jericoacoara,2307254,20087,204792819.752738,0.671824097633362,0.955627501010895,5.34685468673706,4.6345591545105,5.16500091552734,9.44198513031006,0.467198401689529,2.57721948623657,0.825172901153565,0.277104467153549,23,7254,CE
Jati,2307205,8130,353297330.352765,0.276022642850876,3.97595357894897,3.40407800674439,18.5166988372803,7.23772096633911,38.2892532348633,3.35019779205322,0.28787961602211,0.137256845831871,0.498560577630997,23,7205,CE
Jardim,2307106,27181,552425716.008356,0.283425986766815,3.21881484985352,2.90392661094666,19.6889762878418,7.20041751861572,35.514274597168,1.20799744129181,0.94376415014267,0.305016458034515,0.338894665241241,23,7106,CE
Jaguaruana,2307007,33834,867560984.873547,0.41346600651741,0.929569602012634,6.42705249786377,7.36554718017578,9.56436729431152,7.23522806167603,2.71483278274536,0.383331120014191,1.23860108852386,0.336551040410996,23,7007,CE
Jaguaribe,2306900,34636,1876807679.942,0.18072572350502,2.85811519622803,3.78963160514832,17.8671417236328,12.2261514663696,14.7885961532593,10.2012138366699,-0.494454234838486,3.16455173492432,0.807822823524475,23,6900,CE
Jaguaribara,2306801,11492,668739617.733096,0.211999341845512,2.22587752342224,7.03466320037842,11.8068323135376,9.20105838775635,3.74376916885376,6.48116207122803,-0.0348084941506386,2.21818327903748,0.647526681423187,23,6801,CE
Jaguaretama,2306702,18147,1759397364.04223,0.102394573390484,1.78666841983795,7.26474809646606,13.4374113082886,13.367359161377,13.2333459854126,15.0563116073608,-0.390377074480057,1.49591279029846,1.10391736030579,23,6702,CE
Itatira,2306603,21836,783433249.862241,0.2364551872015,5.70561027526856,12.1302099227905,75.4339218139648,14.1454772949219,66.9960632324219,2.56513166427612,0.648961067199707,-0.17469921708107,1.01953303813934,23,6603,CE
Itarema,2306553,42215,720663025.288603,0.392361521720886,1.02116870880127,2.75945138931274,13.0275239944458,13.7681875228882,11.2492341995239,1.39318645000458,1.72984385490417,0.239674925804138,0.538069844245911,23,6553,CE
Itapiúna,2306504,20520,588702721.737784,0.201103940606117,2.91303157806397,4.59428691864014,64.5346221923828,10.2352132797241,34.2004432678223,5.08581876754761,0.623725235462189,-0.309978634119034,0.891794085502625,23,6504,CE
Itapipoca,2306405,130539,1614158485.12029,0.49299493432045,4.02666234970093,3.23459506034851,22.7352886199951,13.4730443954468,26.1472949981689,1.67745471000671,2.04148411750793,0.102202616631985,0.654677271842957,23,6405,CE
Itapajé,2306306,53067,430564874.760742,0.663180649280548,11.2670421600342,3.22236585617065,22.5834407806397,6.97018003463745,36.7824020385742,0.710214972496033,1.51092457771301,-0.00694348802790046,0.808252692222595,23,6306,CE
Itaitinga,2306256,38325,151632996.737831,2.8184928894043,2.43502402305603,2.95142960548401,16.5939826965332,3.26295971870422,24.1158409118652,0.55973356962204,1.1295371055603,0.0669359639286995,1.32680940628052,23,6256,CE
Itaiçaba,2306207,7866,212105088.660448,0.573553681373596,1.40860998630524,4.69292116165161,4.57162094116211,9.26679229736328,4.77921390533447,2.45948958396912,0.555902361869812,0.263507395982742,0.784085869789124,23,6207,CE
Irauçuba,2306108,24305,1461256811.65955,0.161437064409256,5.52136564254761,9.25792407989502,9.89427757263184,9.62660598754883,56.8363761901856,4.34296083450317,0.217513546347618,0.542999744415283,1.1347461938858,23,6108,CE
Iracema,2306009,14326,821247432.378135,0.135126322507858,5.63551473617554,4.97574281692505,24.5179138183594,11.4414987564087,22.1231327056885,4.33795642852783,0.210700556635857,0.259728640317917,1.32246363162994,23,6009,CE
Ipueiras,2305902,38114,1477406472.79237,0.204639762639999,4.40908575057983,7.71744394302368,13.5504140853882,12.4342269897461,58.3991775512695,6.34702110290527,0.823054075241089,0.084149457514286,0.879203379154205,23,5902,CE
Ipu,2305803,42058,629315050.080129,0.392683416604996,3.79326844215393,2.41103363037109,19.4280757904053,7.82238531112671,27.6236209869385,2.62710213661194,1.31410121917725,-0.16575101017952,0.704433023929596,23,5803,CE
Ipaumirim,2305704,12485,273825902.216805,0.356191486120224,3.36385846138001,2.30904102325439,59.7783012390137,6.79847240447998,38.0388145446777,5.35318040847778,0.459570974111557,0.140543431043625,0.153089925646782,23,5704,CE
Ipaporanga,2305654,11596,702125993.429019,0.132074505090714,3.97253561019897,10.9642305374146,27.6841163635254,11.4536790847778,67.5102386474609,5.84256315231323,0.449025988578796,-0.191286951303482,2.47236680984497,23,5654,CE
Independência,2305605,26187,3218680272.37541,0.0680438205599785,2.4345498085022,9.72844314575195,8.78996467590332,17.9113883972168,13.0708246231079,11.2990875244141,-0.120709292590618,3.61013603210449,0.367611348628998,23,5605,CE
Iguatu,2305506,103074,1029214616.07124,0.67481404542923,2.29132437705994,3.04664015769959,86.8252792358399,5.88024234771729,15.6422395706177,3.55652952194214,0.328393578529358,0.895865619182587,0.0925923958420753,23,5506,CE
Icó,2305407,68162,1871996231.57991,0.222179427742958,5.22388172149658,5.64257383346558,60.6284790039063,11.9459095001221,35.1048965454102,4.07084941864014,0.343419820070267,0.654759466648102,0.297119230031967,23,5407,CE
Icapuí,2305357,20060,423446515.736434,0.452704250812531,1.22632968425751,1.48671793937683,5.39869403839111,7.92444753646851,11.5731182098389,1.56183397769928,1.04704117774963,0.320541977882385,0.442965805530548,23,5357,CE
Ibicuitinga,2305332,12629,424245019.573968,0.207575872540474,1.87514185905457,3.2745795249939,20.3594799041748,11.082480430603,23.9435176849365,9.91220092773438,0.321786493062973,0.108284831047058,0.587062060832977,23,5332,CE
Ibiapina,2305308,25082,414939607.525557,0.313171327114105,4.15973234176636,7.24710893630981,10.7547512054443,7.80519342422485,57.1303863525391,3.09796619415283,1.20109450817108,0.0311778262257576,1.10358059406281,23,5308,CE
Ibaretama,2305266,13369,877253855.188944,0.106670767068863,2.4051251411438,4.94253301620483,48.1808471679688,21.2347106933594,31.3061103820801,3.51978945732117,0.954073905944824,-0.427624493837357,0.857719838619232,23,5266,CE
Horizonte,2305233,68529,159979559.631168,4.11635494232178,1.66838812828064,2.05936717987061,13.4379806518555,3.44163131713867,27.3173198699951,0.955994486808777,1.24553513526917,0.239330694079399,0.22995537519455,23,5233,CE
Hidrolândia,2305209,20053,966850492.299142,0.129913240671158,2.92375230789185,6.53756189346314,29.3046569824219,9.84523677825928,22.7724227905273,7.15909433364868,0.644158184528351,-0.241810783743858,0.925377130508423,23,5209,CE
Guaramiranga,2305100,5132,59435375.5174554,0.682622134685516,12.8437595367432,0.55893748998642,46.304573059082,4.89458990097046,29.4772186279297,1.4994455575943,3.41193008422852,-1.16862154006958,3.61371564865112,23,5100,CE
Guaraciaba do Norte,2305001,40784,611450035.746153,0.347661256790161,3.13474988937378,3.55197978019714,7.70897960662842,9.73737716674805,49.3551940917969,5.28366804122925,0.44237694144249,0.193831413984299,0.633730709552765,23,5001,CE
Guaiúba,2304954,26290,267128092.14169,0.575026273727417,5.25299215316773,1.97220540046692,19.3999862670898,5.09475374221802,30.6126537322998,0.33117750287056,2.03744459152222,-0.0952780023217201,1.40642464160919,23,4954,CE
Groaíras,2304905,11144,155946068.872776,0.553535521030426,1.58335185050964,3.98445534706116,24.6452655792236,5.49542760848999,24.1010589599609,5.67452239990234,0.50196784734726,-0.0131098795682192,0.382899075746536,23,4905,CE
Granjeiro,2304806,4814,100127052.380853,0.222686395049095,8.93652248382568,2.24798178672791,80.2944717407227,5.62752819061279,19.4928359985352,0.440339893102646,1.02366137504578,0.210915416479111,0.162365823984146,23,4806,CE
Granja,2304707,54962,2663037717.3721,0.197975292801857,3.36329913139343,11.3544998168945,30.4280204772949,15.0356788635254,26.1324405670166,2.44051289558411,1.62880718708038,-0.461217552423477,1.42467737197876,23,4707,CE
Graça,2304657,14407,281872090.802783,0.292593359947205,6.48480844497681,3.80763125419617,17.6186294555664,4.32777833938599,42.4607620239258,0.347520768642426,3.12684059143066,0.0359196029603481,1.11829102039337,23,4657,CE
General Sampaio,2304608,7694,205811425.310491,0.245162084698677,3.7186336517334,3.12908458709717,47.0096893310547,5.57860660552979,34.3081817626953,4.63546752929688,1.36364126205444,-0.676887273788452,1.29390370845795,23,4608,CE
Frecheirinha,2304509,14134,181239712.005488,0.57854425907135,2.85578083992004,3.3960497379303,33.1337203979492,6.33531808853149,50.7448806762695,1.66045308113098,2.17065477371216,-0.33221235871315,0.873761236667633,23,4509,CE
Fortim,2304459,16631,278765392.921788,0.468478798866272,1.03649699687958,4.92110252380371,3.31239700317383,6.84890699386597,7.5088677406311,0.459547430276871,1.66219460964203,0.205490246415138,0.331976503133774,23,4459,CE
Fortaleza,2304400,2686612,314929519.260529,44.9610633850098,1.60833764076233,0.308471590280533,8.35208034515381,-0.261654913425446,5.32525062561035,1.95526444911957,2.12242031097412,2.07622647285461,0.771246552467346,23,4400,CE
Forquilha,2304350,24452,516993803.827154,0.429262399673462,2.18377041816711,3.20986080169678,30.1501083374023,8.68664836883545,21.7397651672363,5.64072418212891,0.86803525686264,-0.298132747411728,0.85723865032196,23,4350,CE
Farias Brito,2304301,19389,503621576.667475,0.250048100948334,5.7456545829773,2.99959087371826,78.3100891113281,9.16724300384521,52.2170257568359,1.08470380306244,0.872014343738556,0.147953927516937,0.135164961218834,23,4301,CE
Eusébio,2304285,54337,79004623.5645265,10.0671472549438,1.59213864803314,1.04482650756836,6.37428379058838,0.640992105007172,7.99295663833618,0.80998569726944,1.20608770847321,0.322595059871674,0.191220611333847,23,4285,CE
Ereré,2304277,7225,382707711.875364,0.172040745615959,4.93690919876099,3.31040000915527,30.3465309143066,7.48853254318237,41.2783012390137,3.39146614074707,0.231277078390121,0.088848851621151,0.597185015678406,23,4277,CE
Deputado Irapuan Pinheiro,2304269,9662,470424414.139405,0.131928190588951,3.37234425544739,4.53879690170288,46.0312271118164,8.30410099029541,22.5415058135986,5.53489637374878,0.236905336380005,0.100514896214008,0.310099989175797,23,4269,CE
Cruz,2304251,24977,329946042.717692,0.633259654045105,0.895648539066315,1.83657658100128,9.12104797363281,7.21185731887817,8.9419527053833,0.687484860420227,2.02598237991333,0.513909757137299,0.0349115841090679,23,4251,CE
Croatá,2304236,18133,696997259.135696,0.173631906509399,4.30468559265137,7.59519052505493,6.15586709976196,12.5749340057373,57.8277778625488,9.8976411819458,-0.0283748563379049,0.753243327140808,0.721028983592987,23,4236,CE
Crato,2304202,133031,1176466644.77345,0.757930278778076,3.52804017066956,3.24864315986633,44.5296592712402,11.3787155151367,54.349967956543,2.13170576095581,0.733726859092712,0.0179664883762598,1.19508492946625,23,4202,CE
Crateús,2304103,75159,2985152245.49349,0.220792710781097,2.72703385353088,7.53382396697998,30.686861038208,12.1423902511597,40.2896957397461,9.70103168487549,0.0232031848281622,0.504364848136902,0.847059011459351,23,4103,CE
Coreaú,2304004,23239,775795383.737399,0.299856573343277,3.2399377822876,6.13343000411987,34.6168060302734,8.89448547363281,40.4748573303223,2.79557156562805,1.16888153553009,-0.164659738540649,0.711047887802124,23,4004,CE
Chorozinho,2303956,20274,278412338.407097,0.654924273490906,1.41737902164459,3.46428656578064,14.0133008956909,4.97936248779297,28.2510890960693,1.65882253646851,0.704237997531891,0.473860502243042,0.0789471417665482,23,3956,CE
Choró,2303931,13565,815770095.076546,0.110311895608902,5.51784610748291,5.92061901092529,71.6878509521484,13.9048881530762,27.705738067627,2.40677213668823,0.797746479511261,-0.252568691968918,1.09636342525482,23,3931,CE
Chaval,2303907,13091,238233442.362887,0.310850352048874,1.28679311275482,5.30837392807007,11.8718633651733,8.06625175476074,7.83711767196655,3.73818635940552,1.1761372089386,-0.48463049530983,0.994237124919891,23,3907,CE
Cedro,2303808,25585,725797806.085366,0.174887135624886,2.87690997123718,4.11858797073364,90.7658996582031,9.00508117675781,26.5337409973145,2.71621513366699,0.429835349321365,0.251129418611527,0.0416413582861424,23,3808,CE
Caucaia,2303709,365212,1228506729.08925,2.29754519462585,3.43005228042603,2.38902640342712,18.2252178192139,6.35980415344238,18.6018810272217,1.74330854415894,1.70403933525085,-0.266457229852676,1.00546765327454,23,3709,CE
Catunda,2303659,10376,790704146.701423,0.107747577130795,5.47479486465454,4.8621973991394,28.9027576446533,10.7176990509033,52.5830039978027,3.21788930892944,0.173783719539642,0.208904221653938,0.611146092414856,23,3659,CE
Catarina,2303600,20871,486864008.686707,0.115109600126743,4.86638021469116,12.6621141433716,34.5676040649414,14.9266719818115,34.8252258300781,5.57592535018921,0.0118862222880125,0.860622227191925,0.333264857530594,23,3600,CE
